"violation_date","daily_total_violations","daily_total_cyclists"
2018-01-01,3,3726
2018-01-02,58,8977
2018-01-03,74,11500
2018-01-04,6,1665
2018-01-05,14,3308
2018-01-06,10,3194
2018-01-07,26,3638
2018-01-08,34,7240
2018-01-09,103,11018
2018-01-10,90,12569
2018-01-11,85,15202
2018-01-12,64,9442
2018-01-13,126,8932
2018-01-14,21,6364
2018-01-15,66,8904
2018-01-16,79,13830
2018-01-17,62,8553
2018-01-18,89,13333
2018-01-19,81,15186
2018-01-20,47,15660
2018-01-21,21,15112
2018-01-22,35,19271
2018-01-23,58,12535
2018-01-24,76,18968
2018-01-25,130,15235
2018-01-26,96,16050
2018-01-27,28,17249
2018-01-28,26,9121
2018-01-29,83,18743
2018-01-30,93,12102
2018-01-31,169,14696
2018-02-01,113,16544
2018-02-02,92,12111
2018-02-03,40,8812
2018-02-04,33,7090
2018-02-05,44,14564
2018-02-06,77,16570
2018-02-07,114,7603
2018-02-08,216,15016
2018-02-09,123,15007
2018-02-10,77,9651
2018-02-11,12,5143
2018-02-12,76,17852
2018-02-13,117,17193
2018-02-14,211,20323
2018-02-15,184,21171
2018-02-16,66,13081
2018-02-17,36,9275
2018-02-18,21,9223
2018-02-19,51,13206
2018-02-20,149,24797
2018-02-21,209,30208
2018-02-22,205,13095
2018-02-23,141,11962
2018-02-24,74,12234
2018-02-25,67,7484
2018-02-26,116,23561
2018-02-27,172,26890
2018-02-28,142,28332
2018-03-01,182,21512
2018-03-02,35,5203
2018-03-03,66,12495
2018-03-04,26,12172
2018-03-05,97,19007
2018-03-06,212,21527
2018-03-07,39,5004
2018-03-08,40,10863
2018-03-09,92,15864
2018-03-10,52,13126
2018-03-11,82,13685
2018-03-12,66,18172
2018-03-13,53,8856
2018-03-14,87,17190
2018-03-15,93,18271
2018-03-16,148,16860
2018-03-17,32,13983
2018-03-18,19,13010
2018-03-19,41,20073
2018-03-20,90,16603
2018-03-21,25,3534
2018-03-22,82,9138
2018-03-23,82,17529
2018-03-24,23,17376
2018-03-25,19,13388
2018-03-26,57,21659
2018-03-27,158,21872
2018-03-28,79,20335
2018-03-29,121,19522
2018-03-30,104,15805
2018-03-31,22,21652
2018-04-01,4,16457
2018-04-02,39,8290
2018-04-03,67,12178
2018-04-04,98,15867
2018-04-05,132,20268
2018-04-06,75,15602
2018-04-07,54,16400
2018-04-08,40,15738
2018-04-09,169,20795
2018-04-10,219,20314
2018-04-11,213,26027
2018-04-12,275,28506
2018-04-13,210,35192
2018-04-14,31,37689
2018-04-15,22,9842
2018-04-16,28,10047
2018-04-17,171,23092
2018-04-18,180,27018
2018-04-19,142,18122
2018-04-20,87,24211
2018-04-21,59,28631
2018-04-22,60,30627
2018-04-23,90,34031
2018-04-24,168,33859
2018-04-25,80,13043
2018-04-26,209,38218
2018-04-27,131,18905
2018-04-28,65,29066
2018-04-29,72,20669
2018-04-30,73,20887
2018-05-01,207,39741
2018-05-02,146,42332
2018-05-03,297,37932
2018-05-04,257,35101
2018-05-05,33,33903
